-2.00 -2.00 -2.00 -0.17
-2.00 -2.00 -1.00 -0.20
-2.00 -2.00 0.00 -0.25
-2.00 -2.00 1.00 -0.33
-2.00 -2.00 2.00 -0.50
-2.00 -1.00 -2.00 -0.20
-2.00 -1.00 -1.00 -0.25
-2.00 -1.00 0.00 -0.33
-2.00 -1.00 1.00 -0.50
-2.00 -1.00 2.00 -1.00
-2.00 0.00 -2.00 -0.25
-2.00 0.00 -1.00 -0.33
-2.00 0.00 0.00 -0.50
-2.00 0.00 1.00 -1.00
-2.00 0.00 2.00 0
-2.00 1.00 -2.00 -0.33
-2.00 1.00 -1.00 -0.50
-2.00 1.00 0.00 -1.00
-2.00 1.00 1.00 0
-2.00 1.00 2.00 1.00
-2.00 2.00 -2.00 -0.50
-2.00 2.00 -1.00 -1.00
-2.00 2.00 0.00 0
-2.00 2.00 1.00 1.00
-2.00 2.00 2.00 0.50
-1.00 -2.00 -2.00 -0.20
-1.00 -2.00 -1.00 -0.25
-1.00 -2.00 0.00 -0.33
-1.00 -2.00 1.00 -0.50
-1.00 -2.00 2.00 -1.00
-1.00 -1.00 -2.00 -0.25
-1.00 -1.00 -1.00 -0.33
-1.00 -1.00 0.00 -0.50
-1.00 -1.00 1.00 -1.00
-1.00 -1.00 2.00 0
-1.00 0.00 -2.00 -0.33
-1.00 0.00 -1.00 -0.50
-1.00 0.00 0.00 -1.00
-1.00 0.00 1.00 0
-1.00 0.00 2.00 1.00
-1.00 1.00 -2.00 -0.50
-1.00 1.00 -1.00 -1.00
-1.00 1.00 0.00 0
-1.00 1.00 1.00 1.00
-1.00 1.00 2.00 0.50
-1.00 2.00 -2.00 -1.00
-1.00 2.00 -1.00 0
-1.00 2.00 0.00 1.00
-1.00 2.00 1.00 0.50
-1.00 2.00 2.00 0.33
0.00 -2.00 -2.00 -0.25
0.00 -2.00 -1.00 -0.33
0.00 -2.00 0.00 -0.50
0.00 -2.00 1.00 -1.00
0.00 -2.00 2.00 0
0.00 -1.00 -2.00 -0.33
0.00 -1.00 -1.00 -0.50
0.00 -1.00 0.00 -1.00
0.00 -1.00 1.00 0
0.00 -1.00 2.00 1.00
0.00 0.00 -2.00 -0.50
0.00 0.00 -1.00 -1.00
0.00 0.00 0.00 0
0.00 0.00 1.00 1.00
0.00 0.00 2.00 0.50
0.00 1.00 -2.00 -1.00
0.00 1.00 -1.00 0
0.00 1.00 0.00 1.00
0.00 1.00 1.00 0.50
0.00 1.00 2.00 0.33
0.00 2.00 -2.00 0
0.00 2.00 -1.00 1.00
0.00 2.00 0.00 0.50
0.00 2.00 1.00 0.33
0.00 2.00 2.00 0.25
1.00 -2.00 -2.00 -0.33
1.00 -2.00 -1.00 -0.50
1.00 -2.00 0.00 -1.00
1.00 -2.00 1.00 0
1.00 -2.00 2.00 1.00
1.00 -1.00 -2.00 -0.50
1.00 -1.00 -1.00 -1.00
1.00 -1.00 0.00 0
1.00 -1.00 1.00 1.00
1.00 -1.00 2.00 0.50
1.00 0.00 -2.00 -1.00
1.00 0.00 -1.00 0
1.00 0.00 0.00 1.00
1.00 0.00 1.00 0.50
1.00 0.00 2.00 0.33
1.00 1.00 -2.00 0
1.00 1.00 -1.00 1.00
1.00 1.00 0.00 0.50
1.00 1.00 1.00 0.33
1.00 1.00 2.00 0.25
1.00 2.00 -2.00 1.00
1.00 2.00 -1.00 0.50
1.00 2.00 0.00 0.33
1.00 2.00 1.00 0.25
1.00 2.00 2.00 0.20
2.00 -2.00 -2.00 -0.50
2.00 -2.00 -1.00 -1.00
2.00 -2.00 0.00 0
2.00 -2.00 1.00 1.00
2.00 -2.00 2.00 0.50
2.00 -1.00 -2.00 -1.00
2.00 -1.00 -1.00 0
2.00 -1.00 0.00 1.00
2.00 -1.00 1.00 0.50
2.00 -1.00 2.00 0.33
2.00 0.00 -2.00 0
2.00 0.00 -1.00 1.00
2.00 0.00 0.00 0.50
2.00 0.00 1.00 0.33
2.00 0.00 2.00 0.25
2.00 1.00 -2.00 1.00
2.00 1.00 -1.00 0.50
2.00 1.00 0.00 0.33
2.00 1.00 1.00 0.25
2.00 1.00 2.00 0.20
2.00 2.00 -2.00 0.50
2.00 2.00 -1.00 0.33
2.00 2.00 0.00 0.25
2.00 2.00 1.00 0.20
2.00 2.00 2.00 0.17
